Item,Part Number,Thumbnail,BOM Structure,Unit QTY,QTY,Stock Number,Description,REV
130,bottom left rail gusset,*Varies*,Normal,1,2,,,
131,bottom left rail gusset_MIR,(NonDisplayable),Normal,1,1,,,
132,top left rail gusset_MIR1,(NonDisplayable),Normal,1,1,,,
133,top_MIR,(NonDisplayable),Normal,1,1,,,
134,gusset plate_MIR,(NonDisplayable),Normal,1,2,,,
135,ramp gusset_MIR,(NonDisplayable),Normal,1,1,,,
136,plate,(NonDisplayable),Normal,1,2,,,
137,User Library-Battery-6,(NULL),Normal,1,1,,STEP AP214,ANY
138,am-0477_Battery_Base,(NonDisplayable),Normal,1,1,,,
139,am-3210L_Left_Bumper_Triangle_Bracket_AM14U3-2,(NULL),Normal,1,1,,STEP AP214,ANY
140,am-3210R_Right_Bumper_Triangle_Bracket_AM14U3-2,(NULL),Normal,1,1,,STEP AP214,ANY
